Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.34,Scholastic Press,Hardcover,391,2009,2009,2023/03/25,2023/03/25,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.34,Scholastic Press,Hardcover,374,2008,2008,2023/03/24,2023/03/24,,,read,,,,1,0
50531218,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""0241480744""","=""9780241480748""",4,4.19,Penguin,Hardcover,380,2021,2021,2023/03/20,2023/03/19,,,read,,,,1,0
58658940,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""""","=""9780316371124""",4,4.11,"Little, Brown Books for Young Readers",Kindle Edition,400,2022,2022,2023/03/21,2023/03/19,,,read,,,,1,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",4,4.20,Ballantine Books,Hardcover,368,2019,2019,,2023/03/14,,,read,,,,2,0
55655115,The Summer of Lost Letters (Golden Doors #1),Hannah   Reynolds,"Reynolds, Hannah",Allison Parr,"=""0593349725""","=""9780593349724""",4,4.05,Razorbill,Hardcover,384,2021,2021,2023/03/11,2023/02/24,,,read,,,,1,0
49757149,The Cousins,Karen M. McManus,"McManus, Karen M.",,"=""0525708014""","=""9780525708018""",4,3.77,Delacorte Press,Library Binding,337,2020,2020,2023/02/21,2023/02/18,,,read,,,,1,0
55858638,"The Golden Enclaves (The Scholomance, #3)",Naomi Novik,"Novik, Naomi",,"=""0593158369""","=""9780593158364""",3,4.13,Del Rey Books ,ebook,407,2022,2022,,2022/05/22,,,read,,,,2,0
59652222,The Infinity Between Us,N.S. Perkins,"Perkins, N.S.",,"=""""","=""""",3,3.84,N.S. Perkins,Kindle Edition,311,2022,2021,,2023/01/10,,,read,,,,2,0
58064046,Gallant,Victoria E. Schwab,"Schwab, Victoria E.",Manuel Sumberac,"=""0062835777""","=""9780062835772""",3,3.71,Greenwillow Books,Hardcover,338,2022,2022,,2023/02/18,,,read,,,,2,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",4,3.97,Harper,Hardcover,368,2020,2018,2023/01/05,2023/01/05,,,read,,,,1,0
57865157,The Hard Sell: Crime and Punishment at an Opioid Startup,Evan Hughes,"Hughes, Evan",,"=""0385544901""","=""9780385544900""",0,4.05,Doubleday,Hardcover,288,2022,2022,,2023/06/23,to-read,to-read (#39),to-read,,,,0,0
